yourlist:M202009175C475328CEF75220C360D524E9D456CE457C3CW	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P28370	P28370	SMCA1_HUMAN	reviewed	Probable global transcription activator SNF2L1 (EC 3.6.4.-) (ATP-dependent helicase SMARCA1) (Nucleosome-remodeling factor subunit SNF2L) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 1)	SMARCA1 SNF2L SNF2L1	Homo sapiens (Human)	1054
Q15758	Q15758	AAAT_HUMAN	reviewed	Neutral amino acid transporter B(0) (ATB(0)) (Baboon M7 virus receptor) (RD114/simian type D retrovirus receptor) (Sodium-dependent neutral amino acid transporter type 2) (Solute carrier family 1 member 5)	SLC1A5 ASCT2 M7V1 RDR RDRC	Homo sapiens (Human)	541
O75438	O75438	NDUB1_HUMAN	reviewed	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1 (Complex I-MNLL) (CI-MNLL) (NADH-ubiquinone oxidoreductase MNLL subunit)	NDUFB1	Homo sapiens (Human)	58
P15328	P15328	FOLR1_HUMAN	reviewed	Folate receptor alpha (FR-alpha) (Adult folate-binding protein) (FBP) (Folate receptor 1) (Folate receptor, adult) (KB cells FBP) (Ovarian tumor-associated antigen MOv18)	FOLR1 FOLR	Homo sapiens (Human)	257
Q9NYK5	Q9NYK5	RM39_HUMAN	reviewed	39S ribosomal protein L39, mitochondrial (L39mt) (MRP-L39) (39S ribosomal protein L5, mitochondrial) (L5mt) (MRP-L5) (Mitochondrial large ribosomal subunit protein mL39)	MRPL39 C21orf92 MRPL5 RPML5 MSTP003 PRED22	Homo sapiens (Human)	338
Q3ZCQ8	Q3ZCQ8	TIM50_HUMAN	reviewed	Mitochondrial import inner membrane translocase subunit TIM50	TIMM50 TIM50 PRO1512	Homo sapiens (Human)	353
Q71RC2	Q71RC2	LARP4_HUMAN	reviewed	La-related protein 4 (La ribonucleoprotein domain family member 4)	LARP4 PP13296	Homo sapiens (Human)	724
Q96K21	Q96K21	ANCHR_HUMAN	reviewed	Abscission/NoCut checkpoint regulator (ANCHR) (MLL partner containing FYVE domain) (Zinc finger FYVE domain-containing protein 19)	ZFYVE19 ANCHR MPFYVE	Homo sapiens (Human)	471
Q3KQU3	Q3KQU3	MA7D1_HUMAN	reviewed	MAP7 domain-containing protein 1 (Arginine/proline-rich coiled-coil domain-containing protein 1) (Proline/arginine-rich coiled-coil domain-containing protein 1)	MAP7D1 KIAA1187 PARCC1 RPRC1 PP2464	Homo sapiens (Human)	841
Q96PU5	Q96PU5	NED4L_HUMAN	reviewed	E3 ubiquitin-protein ligase NEDD4-like (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase NED4L) (NEDD4.2) (Nedd4-2)	NEDD4L KIAA0439 NEDL3	Homo sapiens (Human)	975
Q96GQ7	Q96GQ7	DDX27_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX27 (EC 3.6.4.13) (DEAD box protein 27)	DDX27 cPERP-F RHLP HSPC259 PP3241	Homo sapiens (Human)	796
P60468	P60468	SC61B_HUMAN	reviewed	Protein transport protein Sec61 subunit beta	SEC61B	Homo sapiens (Human)	96
Q07021	Q07021	C1QBP_HUMAN	reviewed	Complement component 1 Q subcomponent-binding protein, mitochondrial (ASF/SF2-associated protein p32) (Glycoprotein gC1qBP) (C1qBP) (Hyaluronan-binding protein 1) (Mitochondrial matrix protein p32) (gC1q-R protein) (p33) (SF2AP32)	C1QBP GC1QBP HABP1 SF2P32	Homo sapiens (Human)	282
Q13011	Q13011	ECH1_HUMAN	reviewed	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial (EC 5.3.3.-)	ECH1	Homo sapiens (Human)	328
O94788	O94788	AL1A2_HUMAN	reviewed	Retinal dehydrogenase 2 (RALDH 2) (RalDH2) (EC 1.2.1.36) (Aldehyde dehydrogenase family 1 member A2) (Retinaldehyde-specific dehydrogenase type 2) (RALDH(II))	ALDH1A2 RALDH2	Homo sapiens (Human)	518
Q9Y383	Q9Y383	LC7L2_HUMAN	reviewed	Putative RNA-binding protein Luc7-like 2	LUC7L2 CGI-59 CGI-74	Homo sapiens (Human)	392
O14818	O14818	PSA7_HUMAN	reviewed	Proteasome subunit alpha type-7 (EC 3.4.25.1) (Proteasome subunit RC6-1) (Proteasome subunit XAPC7)	PSMA7 HSPC	Homo sapiens (Human)	248
Q96DB5	Q96DB5	RMD1_HUMAN	reviewed	Regulator of microtubule dynamics protein 1 (RMD-1) (hRMD-1) (Protein FAM82B)	RMDN1 FAM82B CGI-90	Homo sapiens (Human)	314
Q9BZL1	Q9BZL1	UBL5_HUMAN	reviewed	Ubiquitin-like protein 5	UBL5	Homo sapiens (Human)	73
P19001	P19001	K1C19_MOUSE	reviewed	Keratin, type I cytoskeletal 19 (Cytokeratin-19) (CK-19) (Keratin-19) (K19)	Krt19 Krt1-19	Mus musculus (Mouse)	403
Q9NTZ6	Q9NTZ6	RBM12_HUMAN	reviewed	RNA-binding protein 12 (RNA-binding motif protein 12) (SH3/WW domain anchor protein in the nucleus) (SWAN)	RBM12 KIAA0765 HRIHFB2091	Homo sapiens (Human)	932
P51665	P51665	PSMD7_HUMAN	reviewed	26S proteasome non-ATPase regulatory subunit 7 (26S proteasome regulatory subunit RPN8) (26S proteasome regulatory subunit S12) (Mov34 protein homolog) (Proteasome subunit p40)	PSMD7 MOV34L	Homo sapiens (Human)	324
Q96A33	Q96A33	CCD47_HUMAN	reviewed	Coiled-coil domain-containing protein 47 (Calumin)	CCDC47 GK001 MSTP041 PSEC0077	Homo sapiens (Human)	483
Q86TU7	Q86TU7	SETD3_HUMAN	reviewed	Actin-histidine N-methyltransferase (EC 2.1.1.85) (SET domain-containing protein 3) (hSETD3)	SETD3 C14orf154	Homo sapiens (Human)	594
Q7Z434	Q7Z434	MAVS_HUMAN	reviewed	Mitochondrial antiviral-signaling protein (MAVS) (CARD adapter inducing interferon beta) (Cardif) (Interferon beta promoter stimulator protein 1) (IPS-1) (Putative NF-kappa-B-activating protein 031N) (Virus-induced-signaling adapter) (VISA)	MAVS IPS1 KIAA1271 VISA	Homo sapiens (Human)	540
P0DTD2	P0DTD2	ORF9B_SARS2	reviewed	ORF9b protein (Accessory protein 9b) (ORF-9b) (Protein 9b)	9b	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	97
Q14566	Q14566	MCM6_HUMAN	reviewed	DNA replication licensing factor MCM6 (EC 3.6.4.12) (p105MCM)	MCM6	Homo sapiens (Human)	821
Q9UPY5	Q9UPY5	XCT_HUMAN	reviewed	Cystine/glutamate transporter (Amino acid transport system xc-) (Calcium channel blocker resistance protein CCBR1) (Solute carrier family 7 member 11) (xCT)	SLC7A11	Homo sapiens (Human)	501
P08174	P08174	DAF_HUMAN	reviewed	Complement decay-accelerating factor (CD antigen CD55)	CD55 CR DAF	Homo sapiens (Human)	381
P24666	P24666	PPAC_HUMAN	reviewed	Low molecular weight phosphotyrosine protein phosphatase (LMW-PTP) (LMW-PTPase) (EC 3.1.3.48) (Adipocyte acid phosphatase) (Low molecular weight cytosolic acid phosphatase) (EC 3.1.3.2) (Red cell acid phosphatase 1)	ACP1	Homo sapiens (Human)	158
P27635	P27635	RL10_HUMAN	reviewed	60S ribosomal protein L10 (Laminin receptor homolog) (Large ribosomal subunit protein uL16) (Protein QM) (Ribosomal protein L10) (Tumor suppressor QM)	RPL10 DXS648E QM	Homo sapiens (Human)	214
Q9Y3I0	Q9Y3I0	RTCB_HUMAN	reviewed	RNA-splicing ligase RtcB homolog (EC 6.5.1.8) (3'-phosphate/5'-hydroxy nucleic acid ligase)	RTCB C22orf28 HSPC117	Homo sapiens (Human)	505
P07814	P07814	SYEP_HUMAN	reviewed	Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) (Cell proliferation-inducing gene 32 protein) (Glutamatyl-prolyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase)]	EPRS1 EPRS GLNS PARS QARS QPRS PIG32	Homo sapiens (Human)	1512
Q9NRX1	Q9NRX1	PNO1_HUMAN	reviewed	RNA-binding protein PNO1 (Partner of NOB1)	PNO1	Homo sapiens (Human)	252
Q8WVM7	Q8WVM7	STAG1_HUMAN	reviewed	Cohesin subunit SA-1 (SCC3 homolog 1) (Stromal antigen 1)	STAG1 SA1 SCC3	Homo sapiens (Human)	1258
O75116	O75116	ROCK2_HUMAN	reviewed	Rho-associated protein kinase 2 (EC 2.7.11.1) (Rho kinase 2) (Rho-associated, coiled-coil-containing protein kinase 2) (Rho-associated, coiled-coil-containing protein kinase II) (ROCK-II) (p164 ROCK-2)	ROCK2 KIAA0619	Homo sapiens (Human)	1388
Q14166	Q14166	TTL12_HUMAN	reviewed	Tubulin--tyrosine ligase-like protein 12 (Inactive tubulin--tyrosine ligase-like protein 12)	TTLL12 KIAA0153	Homo sapiens (Human)	644
Q9UBU8	Q9UBU8	MO4L1_HUMAN	reviewed	Mortality factor 4-like protein 1 (MORF-related gene 15 protein) (Protein MSL3-1) (Transcription factor-like protein MRG15)	MORF4L1 MRG15 FWP006 HSPC008 HSPC061 PP368	Homo sapiens (Human)	362
P63167	P63167	DYL1_HUMAN	reviewed	Dynein light chain 1, cytoplasmic (8 kDa dynein light chain) (DLC8) (Dynein light chain LC8-type 1) (Protein inhibitor of neuronal nitric oxide synthase) (PIN)	DYNLL1 DLC1 DNCL1 DNCLC1 HDLC1	Homo sapiens (Human)	89
P15311	P15311	EZRI_HUMAN	reviewed	Ezrin (Cytovillin) (Villin-2) (p81)	EZR VIL2	Homo sapiens (Human)	586
O76003	O76003	GLRX3_HUMAN	reviewed	Glutaredoxin-3 (PKC-interacting cousin of thioredoxin) (PICOT) (PKC-theta-interacting protein) (PKCq-interacting protein) (Thioredoxin-like protein 2)	GLRX3 PICOT TXNL2 HUSSY-22	Homo sapiens (Human)	335
Q13257	Q13257	MD2L1_HUMAN	reviewed	Mitotic spindle assembly checkpoint protein MAD2A (HsMAD2) (Mitotic arrest deficient 2-like protein 1) (MAD2-like protein 1)	MAD2L1 MAD2	Homo sapiens (Human)	205
P08238	P08238	HS90B_HUMAN	reviewed	Heat shock protein HSP 90-beta (HSP 90) (Heat shock 84 kDa) (HSP 84) (HSP84)	HSP90AB1 HSP90B HSPC2 HSPCB	Homo sapiens (Human)	724
P05204	P05204	HMGN2_HUMAN	reviewed	Non-histone chromosomal protein HMG-17 (High mobility group nucleosome-binding domain-containing protein 2)	HMGN2 HMG17	Homo sapiens (Human)	90
Q8WXX5	Q8WXX5	DNJC9_HUMAN	reviewed	DnaJ homolog subfamily C member 9 (HDJC9) (DnaJ protein SB73)	DNAJC9	Homo sapiens (Human)	260
Q9NPE3	Q9NPE3	NOP10_HUMAN	reviewed	H/ACA ribonucleoprotein complex subunit 3 (Nucleolar protein 10) (Nucleolar protein family A member 3) (snoRNP protein NOP10)	NOP10 NOLA3	Homo sapiens (Human)	64
P40616	P40616	ARL1_HUMAN	reviewed	ADP-ribosylation factor-like protein 1	ARL1	Homo sapiens (Human)	181
Q9H223	Q9H223	EHD4_HUMAN	reviewed	EH domain-containing protein 4 (Hepatocellular carcinoma-associated protein 10/11) (PAST homolog 4)	EHD4 HCA10 HCA11 PAST4 FKSG7	Homo sapiens (Human)	541
Q9NRX4	Q9NRX4	PHP14_HUMAN	reviewed	14 kDa phosphohistidine phosphatase (EC 3.9.1.3) (Phosphohistidine phosphatase 1) (PHPT1) (Protein histidine phosphatase) (PHP) (Protein janus-A homolog)	PHPT1 PHP14 CGI-202 HSPC141	Homo sapiens (Human)	125
P61604	P61604	CH10_HUMAN	reviewed	10 kDa heat shock protein, mitochondrial (Hsp10) (10 kDa chaperonin) (Chaperonin 10) (CPN10) (Early-pregnancy factor) (EPF)	HSPE1	Homo sapiens (Human)	102
Q6PJT7	Q6PJT7	ZC3HE_HUMAN	reviewed	Zinc finger CCCH domain-containing protein 14 (Mammalian suppressor of tau pathology-2) (MSUT-2) (Renal carcinoma antigen NY-REN-37)	ZC3H14	Homo sapiens (Human)	736
Q69YU5	Q69YU5	BWNIN_HUMAN	reviewed	Protein BRAWNIN	BRAWNIN BR C12orf73	Homo sapiens (Human)	71
O75874	O75874	IDHC_HUMAN	reviewed	Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	IDH1 PICD	Homo sapiens (Human)	414
P53597	P53597	SUCA_HUMAN	reviewed	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial (EC 6.2.1.4) (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	SUCLG1	Homo sapiens (Human)	346
P0DMV9	P0DMV9	HS71B_HUMAN	reviewed	Heat shock 70 kDa protein 1B (Heat shock 70 kDa protein 2) (HSP70-2) (HSP70.2)	HSPA1B HSP72	Homo sapiens (Human)	641
Q96FZ2	Q96FZ2	HMCES_HUMAN	reviewed	Abasic site processing protein HMCES (Embryonic stem cell-specific 5-hydroxymethylcytosine-binding protein) (ES cell-specific 5hmC-binding protein) (Peptidase HMCES) (EC 3.4.-.-) (SRAP domain-containing protein 1)	HMCES C3orf37 DC12 SRAPD1	Homo sapiens (Human)	354
P23284	P23284	PPIB_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (CYP-S1) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP)	PPIB CYPB	Homo sapiens (Human)	216
O94956	O94956	SO2B1_HUMAN	reviewed	Solute carrier organic anion transporter family member 2B1 (Organic anion transporter B) (OATP-B) (Organic anion transporter polypeptide-related protein 2) (OATP-RP2) (OATPRP2) (Solute carrier family 21 member 9)	SLCO2B1 KIAA0880 OATP2B1 OATPB SLC21A9	Homo sapiens (Human)	709
Q9Y230	Q9Y230	RUVB2_HUMAN	reviewed	RuvB-like 2 (EC 3.6.4.12) (48 kDa TATA box-binding protein-interacting protein) (48 kDa TBP-interacting protein) (51 kDa erythrocyte cytosolic protein) (ECP-51) (INO80 complex subunit J) (Repressing pontin 52) (Reptin 52) (TIP49b) (TIP60-associated protein 54-beta) (TAP54-beta)	RUVBL2 INO80J TIP48 TIP49B CGI-46	Homo sapiens (Human)	463
Q8WUX9	Q8WUX9	CHMP7_HUMAN	reviewed	Charged multivesicular body protein 7 (Chromatin-modifying protein 7)	CHMP7	Homo sapiens (Human)	453
P62841	P62841	RS15_HUMAN	reviewed	40S ribosomal protein S15 (RIG protein) (Small ribosomal subunit protein uS19)	RPS15 RIG	Homo sapiens (Human)	145
O00762	O00762	UBE2C_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 C (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme C) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme C) (UbcH10) (Ubiquitin carrier protein C) (Ubiquitin-protein ligase C)	UBE2C UBCH10	Homo sapiens (Human)	179
Q13242	Q13242	SRSF9_HUMAN	reviewed	Serine/arginine-rich splicing factor 9 (Pre-mRNA-splicing factor SRp30C) (Splicing factor, arginine/serine-rich 9)	SRSF9 SFRS9 SRP30C	Homo sapiens (Human)	221
O14950	O14950	ML12B_HUMAN	reviewed	Myosin regulatory light chain 12B (MLC-2A) (MLC-2) (Myosin regulatory light chain 2-B, smooth muscle isoform) (Myosin regulatory light chain 20 kDa) (MLC20) (Myosin regulatory light chain MRLC2) (SHUJUN-1)	MYL12B MRLC2 MYLC2B	Homo sapiens (Human)	172
Q96GA3	Q96GA3	LTV1_HUMAN	reviewed	Protein LTV1 homolog	LTV1 C6orf93	Homo sapiens (Human)	475
P06280	P06280	AGAL_HUMAN	reviewed	Alpha-galactosidase A (EC 3.2.1.22) (Alpha-D-galactosidase A) (Alpha-D-galactoside galactohydrolase) (Galactosylgalactosylglucosylceramidase GLA) (EC 3.2.1.47) (Melibiase) (Agalsidase)	GLA	Homo sapiens (Human)	429
P36543	P36543	VATE1_HUMAN	reviewed	V-type proton ATPase subunit E 1 (V-ATPase subunit E 1) (V-ATPase 31 kDa subunit) (p31) (Vacuolar proton pump subunit E 1)	ATP6V1E1 ATP6E ATP6E2	Homo sapiens (Human)	226
P24752	P24752	THIL_HUMAN	reviewed	Acetyl-CoA acetyltransferase, mitochondrial (EC 2.3.1.9) (Acetoacetyl-CoA thiolase) (T2)	ACAT1 ACAT MAT	Homo sapiens (Human)	427
Q8IWJ2	Q8IWJ2	GCC2_HUMAN	reviewed	GRIP and coiled-coil domain-containing protein 2 (185 kDa Golgi coiled-coil protein) (GCC185) (CLL-associated antigen KW-11) (CTCL tumor antigen se1-1) (Ran-binding protein 2-like 4) (RanBP2L4) (Renal carcinoma antigen NY-REN-53)	GCC2 KIAA0336 RANBP2L4	Homo sapiens (Human)	1684
P35900	P35900	K1C20_HUMAN	reviewed	Keratin, type I cytoskeletal 20 (Cytokeratin-20) (CK-20) (Keratin-20) (K20) (Protein IT)	KRT20	Homo sapiens (Human)	424
P07339	P07339	CATD_HUMAN	reviewed	Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain]	CTSD CPSD	Homo sapiens (Human)	412
P20340	P20340	RAB6A_HUMAN	reviewed	Ras-related protein Rab-6A (Rab-6)	RAB6A RAB6	Homo sapiens (Human)	208
O00541	O00541	PESC_HUMAN	reviewed	Pescadillo homolog	PES1	Homo sapiens (Human)	588
Q9Y2W1	Q9Y2W1	TR150_HUMAN	reviewed	Thyroid hormone receptor-associated protein 3 (BCLAF1 and THRAP3 family member 2) (Thyroid hormone receptor-associated protein complex 150 kDa component) (Trap150)	THRAP3 BCLAF2 TRAP150	Homo sapiens (Human)	955
Q15642	Q15642	CIP4_HUMAN	reviewed	Cdc42-interacting protein 4 (Protein Felic) (Salt tolerant protein) (hSTP) (Thyroid receptor-interacting protein 10) (TR-interacting protein 10) (TRIP-10)	TRIP10 CIP4 STOT STP	Homo sapiens (Human)	601
P22307	P22307	NLTP_HUMAN	reviewed	Non-specific lipid-transfer protein (NSL-TP) (EC 2.3.1.176) (Propanoyl-CoA C-acyltransferase) (SCP-chi) (SCPX) (Sterol carrier protein 2) (SCP-2) (Sterol carrier protein X) (SCP-X)	SCP2	Homo sapiens (Human)	547
P09496	P09496	CLCA_HUMAN	reviewed	Clathrin light chain A (Lca)	CLTA	Homo sapiens (Human)	248
Q9Y4L1	Q9Y4L1	HYOU1_HUMAN	reviewed	Hypoxia up-regulated protein 1 (150 kDa oxygen-regulated protein) (ORP-150) (170 kDa glucose-regulated protein) (GRP-170)	HYOU1 GRP170 ORP150	Homo sapiens (Human)	999
P62273	P62273	RS29_HUMAN	reviewed	40S ribosomal protein S29 (Small ribosomal subunit protein uS14)	RPS29	Homo sapiens (Human)	56
Q8WU90	Q8WU90	ZC3HF_HUMAN	reviewed	Zinc finger CCCH domain-containing protein 15 (DRG family-regulatory protein 1) (Likely ortholog of mouse immediate early response erythropoietin 4)	ZC3H15 DFRP1 LEREPO4 HSPC303 HT010 MSTP012 PP730	Homo sapiens (Human)	426
Q8NHP8	Q8NHP8	PLBL2_HUMAN	reviewed	Putative phospholipase B-like 2 (EC 3.1.1.-) (76 kDa protein) (p76) (LAMA-like protein 2) (Lamina ancestor homolog 2) (Phospholipase B domain-containing protein 2) [Cleaved into: Putative phospholipase B-like 2 32 kDa form; Putative phospholipase B-like 2 45 kDa form]	PLBD2	Homo sapiens (Human)	589
P48507	P48507	GSH0_HUMAN	reviewed	Glutamate--cysteine ligase regulatory subunit (GCS light chain) (Gamma-ECS regulatory subunit) (Gamma-glutamylcysteine synthetase regulatory subunit) (Glutamate--cysteine ligase modifier subunit)	GCLM GLCLR	Homo sapiens (Human)	274
P13667	P13667	PDIA4_HUMAN	reviewed	Protein disulfide-isomerase A4 (EC 5.3.4.1) (Endoplasmic reticulum resident protein 70) (ER protein 70) (ERp70) (Endoplasmic reticulum resident protein 72) (ER protein 72) (ERp-72) (ERp72)	PDIA4 ERP70 ERP72	Homo sapiens (Human)	645
P09211	P09211	GSTP1_HUMAN	reviewed	Glutathione S-transferase P (EC 2.5.1.18) (GST class-pi) (GSTP1-1)	GSTP1 FAEES3 GST3	Homo sapiens (Human)	210
Q92743	Q92743	HTRA1_HUMAN	reviewed	Serine protease HTRA1 (EC 3.4.21.-) (High-temperature requirement A serine peptidase 1) (L56) (Serine protease 11)	HTRA1 HTRA PRSS11	Homo sapiens (Human)	480
Q06481	Q06481	APLP2_HUMAN	reviewed	Amyloid-like protein 2 (APLP-2) (APPH) (Amyloid protein homolog) (CDEI box-binding protein) (CDEBP)	APLP2 APPL2	Homo sapiens (Human)	763
Q15465	Q15465	SHH_HUMAN	reviewed	Sonic hedgehog protein (SHH) (HHG-1) (Shh unprocessed N-terminal signaling and C-terminal autoprocessing domains) (ShhNC) [Cleaved into: Sonic hedgehog protein N-product (ShhN) (Shh N-terminal processed signaling domains) (ShhNp)]	SHH	Homo sapiens (Human)	462
P63208	P63208	SKP1_HUMAN	reviewed	S-phase kinase-associated protein 1 (Cyclin-A/CDK2-associated protein p19) (p19A) (Organ of Corti protein 2) (OCP-2) (Organ of Corti protein II) (OCP-II) (RNA polymerase II elongation factor-like protein) (SIII) (Transcription elongation factor B polypeptide 1-like) (p19skp1)	SKP1 EMC19 OCP2 SKP1A TCEB1L	Homo sapiens (Human)	163
Q04695	Q04695	K1C17_HUMAN	reviewed	Keratin, type I cytoskeletal 17 (39.1) (Cytokeratin-17) (CK-17) (Keratin-17) (K17)	KRT17	Homo sapiens (Human)	432
O43242	O43242	PSMD3_HUMAN	reviewed	26S proteasome non-ATPase regulatory subunit 3 (26S proteasome regulatory subunit RPN3) (26S proteasome regulatory subunit S3) (Proteasome subunit p58)	PSMD3	Homo sapiens (Human)	534
P35606	P35606	COPB2_HUMAN	reviewed	Coatomer subunit beta' (Beta'-coat protein) (Beta'-COP) (p102)	COPB2	Homo sapiens (Human)	906
P15260	P15260	INGR1_HUMAN	reviewed	Interferon gamma receptor 1 (IFN-gamma receptor 1) (IFN-gamma-R1) (CDw119) (Interferon gamma receptor alpha-chain) (IFN-gamma-R-alpha) (CD antigen CD119)	IFNGR1	Homo sapiens (Human)	489
Q96CV9	Q96CV9	OPTN_HUMAN	reviewed	Optineurin (E3-14.7K-interacting protein) (FIP-2) (Huntingtin yeast partner L) (Huntingtin-interacting protein 7) (HIP-7) (Huntingtin-interacting protein L) (NEMO-related protein) (Optic neuropathy-inducing protein) (Transcription factor IIIA-interacting protein) (TFIIIA-IntP)	OPTN FIP2 GLC1E HIP7 HYPL NRP	Homo sapiens (Human)	577
O60264	O60264	SMCA5_HUMAN	reviewed	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin A5) (EC 3.6.4.-) (Sucrose nonfermenting protein 2 homolog) (hSNF2H)	SMARCA5 SNF2H WCRF135	Homo sapiens (Human)	1052
Q8NE71	Q8NE71	ABCF1_HUMAN	reviewed	ATP-binding cassette sub-family F member 1 (ATP-binding cassette 50) (TNF-alpha-stimulated ABC protein)	ABCF1 ABC50	Homo sapiens (Human)	845
P06748	P06748	NPM_HUMAN	reviewed	Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)	NPM1 NPM	Homo sapiens (Human)	294
P68104	P68104	EF1A1_HUMAN	reviewed	Elongation factor 1-alpha 1 (EF-1-alpha-1) (Elongation factor Tu) (EF-Tu) (Eukaryotic elongation factor 1 A-1) (eEF1A-1) (Leukocyte receptor cluster member 7)	EEF1A1 EEF1A EF1A LENG7	Homo sapiens (Human)	462
P61158	P61158	ARP3_HUMAN	reviewed	Actin-related protein 3 (Actin-like protein 3)	ACTR3 ARP3	Homo sapiens (Human)	418
