DRUG_NAME	STRUCT_ID	TARGET_NAME	TARGET_CLASS	ACCESSION	GENE	SWISSPROT	ACT_VALUE	ACT_UNIT	ACT_TYPE	ACT_COMMENT	ACT_SOURCE	RELATION	MOA	MOA_SOURCE	ACT_SOURCE_URL	MOA_SOURCE_URL	ACTION_TYPE	TDL	ORGANISM
pazopanib	4118	Cyclin-dependent kinase 11A	Kinase	Q9UQ88	CDK11A	CD11A_HUMAN	5.89		Kd	Binding constant for CDC2L2 kinase domain	CHEMBL	=			https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL477772			Tbio	Homo sapiens
vandetanib	4178	Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform	Kinase	Q16816	PHKG1	PHKG1_HUMAN	5.96		Kd	Binding constant for full-length PHKG1	CHEMBL	=			https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL24828			Tchem	Homo sapiens
crizotinib	4187	BMP-2-inducible protein kinase	Kinase	Q9NSY1	BMP2K	BMP2K_HUMAN	6.13		Kd	Binding constant for BIKE kinase domain	CHEMBL	=			https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL601719			Tchem	Homo sapiens
crizotinib	4187	Cyclin-dependent kinase 11A	Kinase	Q9UQ88	CDK11A	CD11A_HUMAN	6.38		Kd	Binding constant for CDC2L2 kinase domain	CHEMBL	=			https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL601719			Tbio	Homo sapiens
ruxolitinib	4190	BMP-2-inducible protein kinase	Kinase	Q9NSY1	BMP2K	BMP2K_HUMAN	6.68		Kd	Binding constant for BIKE kinase domain	CHEMBL	=			https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1789941			Tchem	Homo sapiens
ruxolitinib	4190	Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform	Kinase	Q16816	PHKG1	PHKG1_HUMAN	5.24		Kd	Binding constant for PHKG1 kinase domain	CHEMBL	=			https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1789941			Tchem	Homo sapiens
axitinib	4225	BMP-2-inducible protein kinase	Kinase	Q9NSY1	BMP2K	BMP2K_HUMAN	6		Kd	Binding constant for BIKE kinase domain	CHEMBL	=			https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1289926			Tchem	Homo sapiens
afatinib	4318	Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform	Kinase	Q16816	PHKG1	PHKG1_HUMAN	5.89		Kd	Binding constant for PHKG1 kinase domain	CHEMBL	=			https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1173655			Tchem	Homo sapiens
pasireotide	4329	Somatostatin receptor type 3	GPCR	P32745	SSTR3	SSR3_HUMAN	8.8		IC50		IUPHAR	=	1	CHEMBL	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2018	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3039583	AGONIST	Tclin	Homo sapiens
bosutinib	4359	BMP-2-inducible protein kinase	Kinase	Q9NSY1	BMP2K	BMP2K_HUMAN	6.46		Kd	Binding constant for BIKE kinase domain	CHEMBL	=			https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL288441			Tchem	Homo sapiens
bosutinib	4359	Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform	Kinase	Q16816	PHKG1	PHKG1_HUMAN	6.47		Kd	Binding constant for PHKG1 kinase domain	CHEMBL	=			https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL288441			Tchem	Homo sapiens
tofacitinib	4713	BMP-2-inducible protein kinase	Kinase	Q9NSY1	BMP2K	BMP2K_HUMAN	5.15		Kd	Binding constant for BIKE kinase domain	CHEMBL	=			https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL221959			Tchem	Homo sapiens
nintedanib	4903	BMP-2-inducible protein kinase	Kinase	Q9NSY1	BMP2K	BMP2K_HUMAN	8.66		Kd	Binding constant for BIKE kinase domain	CHEMBL	=			https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL502835			Tchem	Homo sapiens
nintedanib	4903	Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform	Kinase	Q16816	PHKG1	PHKG1_HUMAN	6.85		Kd	Binding constant for PHKG1 kinase domain	CHEMBL	=			https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL502835			Tchem	Homo sapiens
midostaurin	5231	Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform	Kinase	Q16816	PHKG1	PHKG1_HUMAN	6.72		Kd	Binding affinity to PHKG1	CHEMBL	=			https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL608533			Tchem	Homo sapiens
midostaurin	5231	BMP-2-inducible protein kinase	Kinase	Q9NSY1	BMP2K	BMP2K_HUMAN	6.66		Kd	Binding constant for BIKE kinase domain	CHEMBL	=			https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL608533			Tchem	Homo sapiens
